title,imdb_rating
Double World,6.1
Dovlatov,6.4
Dracula,7.5
Dragonheart,6.5
Drishyam,8.3
Drive,6.8
Dry Martina,5.8
Duck Butter,5.3
Dude,5.1
Dukhtar,7.0
Dum,5.6
Duniya,7.3
Duplicate,5.5
Dushman,6.9
Earth to Echo,5.8
East Side Sushi,7.1
Easy,5.8
Edge of Fear,4.4
Ee Nagaraniki Emaindi,7.9
Eeda,7.2
Eerie,4.7
Eh Janam Tumhare Lekhe,8.6
Ek Cup Chya,7.6
Ek Hasina Thi,7.6
Ek Khiladi Ek Haseena,5.7
Ek Ladki Ko Dekha Toh Aisa Laga,5.5
Ek Main Aur Ekk Tu,5.7
El Camino Christmas,5.7
El Che,6.3
El club de los buenos infieles,5.5
Elaan,5.4
Elena,7.3
Eli,4.1
Elite,4.5
Elizabeth Harvest,5.8
Emelie,5.4
EMI: Liya Hai To Chukana Padega,4.2
Emo the Musical,6.1
Encounter: The Killing,6.5
End Game,5.1
Enemy,6.9
English Babu Desi Mem,4.7
Entanglement,5.9
Equals,6.1
Equilibrium,7.4
Equinox,5.3
Erased,6.4
Estar o no estar,5.2
Eternal Love,6.1
Euphoria,5.8
Evelyn,7.0
Evening Shadows,7.1
Every Time I Die,5.1
Everyday I Love You,7.0
Everything About Her,7.1
Evolution,6.1
Evvarikee Cheppoddu,7.3
Ex Machina,7.7
Exes Baggage,6.8
Exhibit A,6.0
Exit Strategy,3.1
Expo,2.9
Extinction,3.1
Extraction,4.9
Extracurricular,5.4
F.R.E.D.I.,5.0
Face 2 Face,3.3
"Faith, Hope & Love",6.3
Fakta Ladh Mhana,6.4
Fall Girls,3.9
Fallen,5.4
Familiye,6.5
Family Blood,4.2
Family Reunion,5.4
Fandry,8.3
Fantastica,4.2
Faraar,7.0
Fashion,6.9
Fatso,5.6
Fearless,7.6
Feel the Beat,6.3
Ferrari Ki Sawaari,6.4
Fida,5.5
Fifty,6.0
Final Destination,6.7
Final Destination 2,6.2
Final Destination 3,5.8
Finally Found Someone,5.7
Firebrand,5.1
Fireworks,4.1
First Kill,5.0
First Kiss,4.0
First Love,6.8
FirstBorn,4.8
Fisherman's Friends,6.9
Fitoor,5.4
Five Nights in Maine,4.6
Fiza,6.1
Flash of Genius,7.0
Flock of Four,6.1
Flowers,6.6
Follow Me,5.3
Followers,3.7
For Here or to Go?,6.7
Force 2,6.2
Forensic,6.6
Forget Me Not,5.7
Forgotten,7.4
Four Sisters and a Wedding,7.3
Fracture,6.4
Fractured,4.2
Frances Ha,7.5
Frank & Lola,5.9
Frat Star,3.7
Freak Show,6.6
Freaks,7.9
Free Fire,6.4
Free State of Jones,6.9
French Toast,5.6
Freshman Year,4.8
Friend Request,4.0
Friends,7.5
From Paris with Love,6.5
Fronteras,4.3
Fukrey,6.9
Full Count,5.7
Fun Mom Dinner,5.2
Funan,6.8
Furie,5.7
Furthest Witness,4.2
Görümce,5.1
Gabbar Is Back,7.1
Galih dan Ratna,6.6
Game,5.0
Game Over,2.8
"Game Over, Man!",5.4
Gangaajal,7.8
Gangs of New York,6.4
Garbage,5.2
Gehenna: Where Death Lives,5.0
Gelo,5.7
Gemini,6.8
Genius,6.6
Get Shorty,6.9
Ghadi,7.4
Ghanchakkar,5.8
Ghayal,7.6
Ghost House,4.7
Ghost Patrol,4.7
Ghost Rider,5.2
Ghost Stories,4.3
Ghosts of War,5.4
Ghulam-E-Musthafa,6.6
Gie,7.6
Gigi,6.2
Ginger & Rosa,6.3
Girl,5.9
Girl from Nowhere,3.9
Glitch,5.3
Gnome Alone,5.6
God Bless the Broken Road,5.5
God's Not Dead: A Light in Darkness,4.5
God's Own Country,6.3
Godless,5.5
Godzilla,7.6
Going for Gold,4.7
Gol Maal,8.6
GoldenEye,7.2
Goldie,5.3
Golmaal Returns,5.1
Golmaal: Fun Unlimited,7.4
Good Kids,6.1
Good Kill,6.4
Good Kisser,4.4
Good Luck,6.3
Good People,5.5
Good Sam,5.6
Good Time,7.4
Gook,7.0
Goon,6.8
Goon: Last of the Enforcers,5.8
Gosford Park,7.2
Gothika,5.8
Gour Hari Dastaan: The Freedom File,7.5
Gran Torino,8.1
Grand Hotel,7.4
Grand Masti,4.3
Grand-Daddy Day Care,4.8
Grandmaster,7.0
Grass,6.7
Greater,7.3
Green Room,7.0
Gridlocked,5.8
Guilty,5.5
Gumrah,7.0
